author,content
长春情报站,#北京2022年冬奥会#中国式排座#俄乌局势#L长春情报站的微博视频
看看新闻全球眼,【#俄军演当天拜登要求公民赶紧离开乌克兰#】2月10日，俄罗斯与白俄罗斯启动了为期10天的联合军演，以检验部队击退外部侵略、保护两国利益的能力。俄罗斯外长拉夫罗夫表示，俄军部队在结束演习后，会回到原驻地，而这与西方国家的做法截然不同。鉴于俄乌边境局势日益紧张，美国国务院也在当日发布了针对乌克兰的旅行警告。总统拜登更是在电视采访中，要求在乌美国公民尽快撤离。L看看新闻KNEWS的秒拍视频
-夏明世-,伊朗原油供应回归可能及美元反弹制约油价上行空间但OPEC增产不及预期、库存下降和俄乌紧张局势对原油提供支撑；多空博弈下，原油陷入高位震荡，成本支撑仍在。自身基本面而言，逸盛新材料1#降负至五成，抵消掉新材料2#投产带来的供应压力，宁波逸盛200万吨装置停车检修半个月，供应端有减量；聚酯开工缓慢提升，但终端新订单不及预期，补库需求仍有限。短线PTA跟随原油波动，高位将有震荡反复。#期货##PTA期货#
Ruptly国际新闻视频通讯社,【英国首相最近有点忙，#约翰逊在波兰和比利时谈俄乌紧张局势#】周四，英国首相鲍里斯·约翰逊在华沙会见波兰总理马特乌什·莫拉维茨基，以在俄乌局势紧张的情况下，加强英国对波兰的政治和军事支持。350名英国士兵已抵达波兰。同一天，约翰逊还在布鲁塞尔与北约秘书长延斯·斯托尔滕贝格一同举行了新闻发布会。约翰逊表示这是欧洲的“危险时刻”，并确认英国将向北约提供“部队、飞机和船只”。LRuptly国际新闻视频通讯社的微博视频
凡尘论市168,【成本支撑叠加装置检修，PTA短线高位将有震荡反复】伊朗原油供应回归可能及美元反弹制约油价上行空间；但OPEC增产不及预期、库存下降和俄乌紧张局势对原油提供支撑；多空博弈下，原油陷入高位震荡，成本支撑仍在。自身基本面而言，逸盛新材料1#降负至五成，抵消掉新材料2#投产带来的供应压力，宁波逸盛200万吨装置停车检修半个月，供应端有减量；聚酯开工缓慢提升，但终端新订单不及预期，补库需求仍有限。短线PTA跟随原油波动，高位将有震荡反复。
Fm斌哥,成本支撑叠加装置检修，PTA短线高位将有震荡反复伊朗原油供应回归可能及美元反弹制约油价上行空间；但OPEC增产不及预期、库存下降和俄乌紧张局势对原油提供支撑；多空博弈下，原油陷入高位震荡，成本支撑仍在。自身基本面而言，逸盛新材料1#降负至五成，抵消掉新材料2#投产带来的供应压力，宁波逸盛200万吨装置停车检修半个月，供应端有减量；聚酯开工缓慢提升，但终端新订单不及预期，补库需求仍有限。短线PTA跟随原油波动，高位将有震荡反复。#期货#
江平舟,发布了头条文章：《美国的对手们，正联合起来对付他》#拜登##美国疫情##乌克兰##乌克兰局势##俄乌局势##拜登支持率降至上任以来最低#O美国的对手们，正联合起来对付他
凤凰卫视,【马克龙充当戴高乐？俄乌局势下穿梭外交仍在继续，俄乐见美欧内卷】俄乌冲突，表面上看是两个国家，其实背后一大堆“玩家”。接任欧盟轮值主席国的法国发力，马克龙到访俄罗斯，普京和马克龙对话双方隔着4米长的桌子聊了近6小时，体现了两国间的距离感。拜登私下评价说，马克龙想成为法国传奇政治家戴高乐，试图通过欧盟与俄罗斯接触。德法与美英之间存在着某种战与和的路线之争、调停能力的功劳之争，普京应该乐于见到美欧内部的这种“内卷”——#凤凰观察#L凤凰卫视的微博视频
铁钩历史,#世界历史#乌克兰历史及统治国家和疆域变化图，想要了解俄乌局势就必须了解曾经在东欧地区，大国们是如何博弈的。铁钩博主近期发过不少关于乌克兰历史的视频，@诚闻讲谈也将近期持续更新与俄乌局势息息相关的东欧历史讲谈。#历史云讲堂##微博公开课#L铁钩历史的微博视频
CCTV今日亚洲,【#拜登拟首访亚太#俄乌危机打乱美战略布局？】乌局势牵动全球，美国接下来的外交布局也面临关键性的问题：乌克兰危机到底会占用美国多少资源？对亚太的重视还会继续下去吗？LCCTV今日亚洲的微博视频
篮人2022,俄烏邊境局勢緊張，俄罗斯、乌克兰和法國、德國官员周四（10日）在柏林举行的会谈结束后，未能取得突破性进展。目前，俄罗斯在乌克兰东部部署了超过10万名士兵，外界担忧可能引发战争。俄罗斯否认计划入侵乌克兰，但表示它想要设“红线”，以确保乌克兰不加入北约，且北约不会在乌克兰建立基地和导弹。
知世-搜狐,【俄罗斯与白俄罗斯开始为期10天联合军事演习】据外媒报道，俄罗斯国防部2月10日通报称，俄白“联盟决心-2022”联合军事演习当天正式开始。这场军演在俄乌局势紧张对峙情况下举行。俄国防部说，联合演习是对俄白联盟反应部队第二阶段检查的一部分。演习的任务是“在防御行动中阻止和击退外部侵略，打击恐怖主义和保护联盟国家的利益”。L知世-搜狐的微博视频
Maxpeee,现在乌俄的局势就是在玩扎金花，一个个都在加码，没有人敢开牌，也没有人愿意认输。
腾讯新闻,【#拜登警告在乌美国人现在离开#】美国总统拜登2月10日就俄乌局势发出最新警告，呼吁仍在乌克兰境内的美国人立即撤离。当被美媒记者问到在什么情况下，拜登会派军队前往营救美国公民时，拜登则表示：“不存在这种情况。”#拜登称若美俄交火将是世界大战#，“我们今天所处的世界与过去已大不相同了。”当天，俄罗斯与乌克兰进行最新一轮会谈，但未能达成任何新的协议。不过，乌克兰方面称，双方同意继续会谈。L拜登警告在乌美国人“现在就离开”：如美俄交火，将是一场世界大战
灵州司空,俄乌局势紧张，很大程度上是以美国为首的西方国家联合乌克兰自导自演的一场闹剧。但作为苏联曾经的两大加盟共和国，俄乌共同经历了苏联大家庭的沧桑巨变，分分合合的历史长河积淀了两个国家不同的记忆和感悟。乌克兰想有所作为，可是在俄罗斯的羽翼下很难成长为中等强国
云云说一说,日本3月起将向欧洲提供液化天然气，日俄关系引担忧；①据日本共同社报道，日本政府日前决定向欧洲提供部分液化天然气（LNG），日本企业将从3月起开始提供。报道称，日企将从3月起提供液化天然气（LNG），当月部分将为数十万吨。由于俄乌局势持续紧张，对俄罗斯天然气有依赖的欧洲对采购的担忧升温，美国此前就能否提供向日方征询了意见，日本表示将配合支援欧洲；②据报道，日本将LNG用于发电等，目前全部依赖进口，如果被要求提供的数量超过设想量，从电力供需的观点来看，日本可能会面临艰难的决断。此外，有人担忧此举可能会影响存在领土问题的日俄关系。对日本而言，俄罗斯也是天然气主要采购地，在面临领土问题等双边外交谈判的情况下，对欧美统一步调将给日俄关系带来怎样的影响受到关注；③日本首相岸田文雄9日表示，将配合向欧洲提供LNG，并说明称，确保对日稳定供应是大前提，将把剩余部分分给欧洲。日本经济产业省开始要求商社等企业给予合作。有供应余力的企业将对欧出售LNG。经产省还要求企业4月以后也给予合作，但未透露提供的具体数量#天然气#
王裕庆_台湾省,#李靓蕾声明##李靓蕾回应未向法院提交证据##俄乌局势#新闻头版:是乌克兰疑似战争精彩，还是王力宏李靓蕾疑似离婚官司战火精彩？让我们继续看下去
血色军刀999,在法德张罗四方会谈的同时，俄乌边境紧张局势却丝毫没有降温。英美等西方国家仍然加紧向乌克兰进行军事部署。（编辑：周雯飞方梁实习编辑：俞之歆O网页链接
旗米拉论坛,有报天天读2022-02-11俄乌紧张局势升级乌克兰平民开始接收军训大家直接访问论坛网址qimila.cool即可!
我就是小怪兽哇,因为欧洲能源依赖俄罗斯供应的天然气的问题，现在又出现俄乌紧张的局势，法国开始重启，因国际上已经达成一致的，核电站不安全的原因，而关闭的核电站。
QuantHedgeFund,#量化对冲基金#【支撑逻辑持续，锌价震荡偏强】2月10日讯，海外欧洲炼厂前期减产计划均已兑现，且欧洲库存维持低位、现货维持高升水，精炼锌供应仍紧缺。叠加当前俄乌局势的不确定性，欧洲能源问题对内外锌价的支撑因素仍存。当前锌市逻辑仍围绕欧洲能源导致的减产及国内终端需求向好预期，在能源问题未扭转及旺季需求未伪证前，锌价或维持震荡偏强运行。（金源期货）
SMGNEWS,【#俄乌危机引出了德法小圈子#你都知道吗#？】俄乌局势升级，德法领导人本周开启连轴转的外交斡旋模式。除了北约，欧盟，七国集团，这些我们常见的西方集团名称外，大家可能会注意到一些不太听到的联盟或者名字。德国和法国竟然早有这些“小圈子”！本期《陈彬欧吧》为你解读“魏玛三角”，“诺曼底模式”和“明斯克协议”等概念。LSMGNEWS的微博视频
